Имя файла                                                              Площадь листа (пиксели)        Площадь повреждения (пиксели)  Процент повреждения            
2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG                          47134                          28013                        59.432681            
3bf2f5f8-4578-405a-88c6-c5338620a078___FREC_Scab 3059.JPG                          40037                           3241                         8.095012            
3c27bbd7-b305-4ab0-8a85-5061363cf632___FREC_Scab 3183.JPG                          27760                           133                          0.479107            
3c2f46e3-9f96-4912-a9d5-7a046aa6a1b2___FREC_Scab 2967.JPG                          31218                           2013                         6.448203            
3d34bd1c-fae9-446a-a629-147b5e8d5d6b___FREC_Scab 3103.JPG                          37151                           1996                         5.372668            
3dd3d59c-be2a-4f29-8fa1-d4f37d7fb894___FREC_Scab 3412.JPG                          28939                           2020                         6.980200            
3eb26abb-a392-4cc4-9be2-d5e4bb8f3660___FREC_Scab 2969.JPG                          30019                           2737                         9.117559            
3f65aa69-06c9-423f-ac7a-e2ab6edf63ca___FREC_Scab 3360.JPG                          33112                           7244                        21.877265            
4a50158d-dcd0-4a1f-885e-2d9b16a4e344___FREC_Scab 3205.JPG                          15573                           4095                        26.295511            
4a7f12ff-a785-4d12-8943-f1644789a21b___FREC_Scab 2916.JPG                          28738                           5182                        18.031874            
4abca5eb-2376-4551-be42-25bbb5400fc7___FREC_Scab 3268.JPG                          41838                           3130                         7.481237            
4b4b59d5-3c6d-4ce5-b349-616fecb850ff___FREC_Scab 3447.JPG                          34471                           3051                         8.850918            
4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG                          24815                            60                          0.241789            
4b7c40cd-b145-4945-b649-3576a1d898dc___FREC_Scab 3343.JPG                          39987                           4632                        11.583765            
4bb38e05-1d5a-40c6-8638-10db134db682___FREC_Scab 3390.JPG                          32466                           2625                         8.085382            
4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082.JPG                          39866                           2968                         7.444941            
4d02c4a9-4b0d-4b4b-9695-91f08228ee53___FREC_Scab 3274.JPG                          37438                           1643                         4.388589            
4d3bcf15-cc49-4189-82e1-780efdf625a8___FREC_Scab 3254.JPG                          35593                           1742                         4.894221            
4e2c27a7-4be1-4c86-a07b-bc2a64c1bff9___FREC_Scab 3018.JPG                          29998                           6812                        22.708181            
4e770559-e332-470e-aae3-c7ad0399dd20___FREC_Scab 3513.JPG                          27606                           2412                         8.737231            
5a178d63-372d-48c4-adb8-d616130ba3f0___FREC_Scab 3104.JPG                          38446                           2254                         5.862769            
5a923f64-b733-47a7-90f5-2786cd9c85ce___FREC_Scab 3234.JPG                          27733                           136                          0.490391            
5b74fa7a-008d-42b2-b8c0-07bd4642153a___FREC_Scab 3162.JPG                          28281                           574                          2.029631            
5c0af4dd-f185-4fc9-ae2c-a697a235d660___FREC_Scab 2955.JPG                          36069                           200                          0.554493            
5cd3df15-31a2-4076-9d1a-8735fa1dccdf___FREC_Scab 3410.JPG                          31132                           2099                         6.742259            
5d398d0d-256d-4de5-8dcd-f3b455da2b76___FREC_Scab 3522.JPG                          26855                           856                          3.187488            
