Имя файла                                                              Площадь листа (пиксели)        Площадь повреждения (пиксели)  Процент повреждения            
1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406.JPG                          31082                            0                           0.000000            
1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG                          33695                           2904                         8.618489            
1f6abf22-93fa-48f0-a509-cc3e210f75f0___FREC_Scab 3172.JPG                          26979                           3362                        12.461544            
1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG                          34612                            86                          0.248469            
1f98b949-4df2-45cf-8572-3b4a753be21a___FREC_Scab 2907.JPG                          14844                           3312                        22.312045            
2a59761b-c91c-451c-8e13-d9dc3aff8d29___FREC_Scab 3503.JPG                          24857                           616                          2.478175            
2a800c84-902e-4aa8-af13-4e020d6f17dd___FREC_Scab 3124.JPG                          38108                           1996                         5.237745            
2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG                          38185                           1685                         4.412728            
2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG                          33359                           1092                         3.273479            
2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG                          36380                            30                          0.082463            
2bc50b52-0d7d-41a3-be8a-8d070341d87f___FREC_Scab 3476.JPG                          35141                           425                          1.209414            
2bfd8ee0-af6b-42fd-ae61-fc5e92ec1b67___FREC_Scab 2988.JPG                          37291                           1502                         4.027782            
2c648fcd-d637-4559-beaa-9dd6079646fb___FREC_Scab 3213.JPG                          25287                           4348                        17.194606            
2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG                          32500                           4108                        12.640000            
2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG                          22815                           627                          2.748192            
2d329823-7ad5-4189-89b7-4bdf24f9c393___FREC_Scab 3507.JPG                          24139                           465                          1.926343            
2d4c8a12-a34c-4c8b-b357-271d87532ece___FREC_Scab 3090.JPG                          44705                           3131                         7.003691            
2d5265d2-be99-4e9f-a085-d309cc01b751___FREC_Scab 3023.JPG                          26974                           9540                        35.367391            
2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG                          36771                            0                           0.000000            
2e264ee0-7679-4ad2-a19a-1ac4d2e84079___FREC_Scab 2984.JPG                          26416                           3580                        13.552392            
2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG                          34018                           1539                         4.524075            
2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG                          45560                          13560                        29.762950            
3bf2f5f8-4578-405a-88c6-c5338620a078___FREC_Scab 3059.JPG                          38360                           1771                         4.616788            
3c27bbd7-b305-4ab0-8a85-5061363cf632___FREC_Scab 3183.JPG                          28138                           166                          0.589950            
3c2f46e3-9f96-4912-a9d5-7a046aa6a1b2___FREC_Scab 2967.JPG                          35352                           3894                        11.014936            
3d34bd1c-fae9-446a-a629-147b5e8d5d6b___FREC_Scab 3103.JPG                          39187                           2995                         7.642841            
3dd3d59c-be2a-4f29-8fa1-d4f37d7fb894___FREC_Scab 3412.JPG                          28996                           1687                         5.818044            
3eb26abb-a392-4cc4-9be2-d5e4bb8f3660___FREC_Scab 2969.JPG                          32266                           3534                        10.952706            
3f65aa69-06c9-423f-ac7a-e2ab6edf63ca___FREC_Scab 3360.JPG                          32053                           4728                        14.750569            
4a50158d-dcd0-4a1f-885e-2d9b16a4e344___FREC_Scab 3205.JPG                          18667                           2032                        10.885520            
4a7f12ff-a785-4d12-8943-f1644789a21b___FREC_Scab 2916.JPG                          28273                           2665                         9.425954            
4abca5eb-2376-4551-be42-25bbb5400fc7___FREC_Scab 3268.JPG                          43400                           2531                         5.831797            
4b4b59d5-3c6d-4ce5-b349-616fecb850ff___FREC_Scab 3447.JPG                          34834                           2171                         6.232417            
4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG                          26362                           184                          0.697974            
4b7c40cd-b145-4945-b649-3576a1d898dc___FREC_Scab 3343.JPG                          39550                           2818                         7.125158            
4bb38e05-1d5a-40c6-8638-10db134db682___FREC_Scab 3390.JPG                          32074                           1771                         5.521606            
4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082.JPG                          43438                           3886                         8.946084            
4d02c4a9-4b0d-4b4b-9695-91f08228ee53___FREC_Scab 3274.JPG                          36551                           669                          1.830319            
4d3bcf15-cc49-4189-82e1-780efdf625a8___FREC_Scab 3254.JPG                          33699                           685                          2.032701            
4e2c27a7-4be1-4c86-a07b-bc2a64c1bff9___FREC_Scab 3018.JPG                          29360                           4959                        16.890327            
4e770559-e332-470e-aae3-c7ad0399dd20___FREC_Scab 3513.JPG                          27721                           1385                         4.996212            
5a178d63-372d-48c4-adb8-d616130ba3f0___FREC_Scab 3104.JPG                          37024                           1862                         5.029170            
5a923f64-b733-47a7-90f5-2786cd9c85ce___FREC_Scab 3234.JPG                          28775                           165                          0.573414            
5b74fa7a-008d-42b2-b8c0-07bd4642153a___FREC_Scab 3162.JPG                          27898                           132                          0.473152            
5c0af4dd-f185-4fc9-ae2c-a697a235d660___FREC_Scab 2955.JPG                          36258                           776                          2.140217            
5cd3df15-31a2-4076-9d1a-8735fa1dccdf___FREC_Scab 3410.JPG                          30074                           1082                         3.597792            
5d398d0d-256d-4de5-8dcd-f3b455da2b76___FREC_Scab 3522.JPG                          26812                           319                          1.189766            
