Имя файла                                                              Площадь листа (пиксели)        Площадь повреждения (пиксели)  Процент повреждения            
1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG                          39102                           160                          0.409186            
1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG                          31374                           703                          2.240709            
1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG                          38058                           1623                         4.264544            
1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG                          42418                           3436                         8.100335            
1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG                          34934                           445                          1.273831            
1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG                          39430                           234                          0.593457            
1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG                          32522                           3415                        10.500584            
1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406.JPG                          31606                            86                          0.272100            
1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG                          33804                           3053                         9.031476            
1f6abf22-93fa-48f0-a509-cc3e210f75f0___FREC_Scab 3172.JPG                          26527                           2574                         9.703321            
1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG                          33953                           478                          1.407828            
1f98b949-4df2-45cf-8572-3b4a753be21a___FREC_Scab 2907.JPG                          15031                           3392                        22.566695            
2a59761b-c91c-451c-8e13-d9dc3aff8d29___FREC_Scab 3503.JPG                          24439                           493                          2.017267            
2a800c84-902e-4aa8-af13-4e020d6f17dd___FREC_Scab 3124.JPG                          37126                           1240                         3.339977            
2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG                          37649                           1462                         3.883237            
2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG                          32863                           818                          2.489122            
2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG                          35944                           149                          0.414534            
2bc50b52-0d7d-41a3-be8a-8d070341d87f___FREC_Scab 3476.JPG                          34639                           313                          0.903606            
2bfd8ee0-af6b-42fd-ae61-fc5e92ec1b67___FREC_Scab 2988.JPG                          36686                           1128                         3.074742            
2c648fcd-d637-4559-beaa-9dd6079646fb___FREC_Scab 3213.JPG                          26789                           4309                        16.084960            
2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG                          34415                           4588                        13.331396            
2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG                          22556                           517                          2.292073            
2d329823-7ad5-4189-89b7-4bdf24f9c393___FREC_Scab 3507.JPG                          24657                           1005                         4.075922            
2d4c8a12-a34c-4c8b-b357-271d87532ece___FREC_Scab 3090.JPG                          42859                           1966                         4.587135            
2d5265d2-be99-4e9f-a085-d309cc01b751___FREC_Scab 3023.JPG                          26343                           8805                        33.424439            
2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG                          36497                            0                           0.000000            
2e264ee0-7679-4ad2-a19a-1ac4d2e84079___FREC_Scab 2984.JPG                          25616                           2753                        10.747189            
2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG                          35798                           1958                         5.469579            
2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG                          46261                          11562                        24.992975            
3bf2f5f8-4578-405a-88c6-c5338620a078___FREC_Scab 3059.JPG                          38122                           1761                         4.619380            
3c27bbd7-b305-4ab0-8a85-5061363cf632___FREC_Scab 3183.JPG                          26304                            0                           0.000000            
3c2f46e3-9f96-4912-a9d5-7a046aa6a1b2___FREC_Scab 2967.JPG                          33854                           3013                         8.899982            
3d34bd1c-fae9-446a-a629-147b5e8d5d6b___FREC_Scab 3103.JPG                          34913                           607                          1.738607            
3dd3d59c-be2a-4f29-8fa1-d4f37d7fb894___FREC_Scab 3412.JPG                          29023                           1150                         3.962375            
3eb26abb-a392-4cc4-9be2-d5e4bb8f3660___FREC_Scab 2969.JPG                          32231                           2595                         8.051255            
3f65aa69-06c9-423f-ac7a-e2ab6edf63ca___FREC_Scab 3360.JPG                          32151                           3874                        12.049392            
4a50158d-dcd0-4a1f-885e-2d9b16a4e344___FREC_Scab 3205.JPG                          18526                           1994                        10.763252            
4a7f12ff-a785-4d12-8943-f1644789a21b___FREC_Scab 2916.JPG                          25494                           1989                         7.801836            
4abca5eb-2376-4551-be42-25bbb5400fc7___FREC_Scab 3268.JPG                          42098                           2238                         5.316167            
4b4b59d5-3c6d-4ce5-b349-616fecb850ff___FREC_Scab 3447.JPG                          34220                           1805                         5.274693            
4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG                          26292                           496                          1.886505            
4b7c40cd-b145-4945-b649-3576a1d898dc___FREC_Scab 3343.JPG                          38096                           2096                         5.501890            
4bb38e05-1d5a-40c6-8638-10db134db682___FREC_Scab 3390.JPG                          31743                           1120                         3.528337            
4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082.JPG                          41973                           2645                         6.301670            
4d02c4a9-4b0d-4b4b-9695-91f08228ee53___FREC_Scab 3274.JPG                          35762                           626                          1.750461            
4d3bcf15-cc49-4189-82e1-780efdf625a8___FREC_Scab 3254.JPG                          33605                           641                          1.907454            
4e2c27a7-4be1-4c86-a07b-bc2a64c1bff9___FREC_Scab 3018.JPG                          30286                           4472                        14.765898            
4e770559-e332-470e-aae3-c7ad0399dd20___FREC_Scab 3513.JPG                          28062                           1204                         4.290500            
5a178d63-372d-48c4-adb8-d616130ba3f0___FREC_Scab 3104.JPG                          35928                           892                          2.482743            
5a923f64-b733-47a7-90f5-2786cd9c85ce___FREC_Scab 3234.JPG                          28402                           134                          0.471798            
5b74fa7a-008d-42b2-b8c0-07bd4642153a___FREC_Scab 3162.JPG                          27301                            43                          0.157503            
5c0af4dd-f185-4fc9-ae2c-a697a235d660___FREC_Scab 2955.JPG                          41045                           3131                         7.628213            
5cd3df15-31a2-4076-9d1a-8735fa1dccdf___FREC_Scab 3410.JPG                          30815                           941                          3.053708            
5d398d0d-256d-4de5-8dcd-f3b455da2b76___FREC_Scab 3522.JPG                          27797                           745                          2.680145            
